m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
6, 6, 1, 6, 1, 6, 13.251534
8, 8, 1, 8, 1, 8, 16.713820
10, 10, 1, 10, 1, 10, 19.230770
12, 12, 1, 12, 1, 12, 19.547510
14, 14, 1, 14, 1, 14, 20.319654
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.542435
4, 4, 4, 1, 1, 4, 13.913044
6, 6, 6, 1, 1, 6, 28.514851
8, 8, 8, 1, 1, 8, 51.371239
10, 10, 10, 1, 1, 10, 66.115700
12, 12, 12, 1, 1, 12, 85.970154
14, 14, 14, 1, 1, 14, 111.205673
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 3.595506
4, 4, 1, 4, 4, 1, 13.862816
6, 6, 1, 6, 6, 1, 28.327868
8, 8, 1, 8, 8, 1, 50.360653
10, 10, 1, 10, 10, 1, 66.481995
12, 12, 1, 12, 12, 1, 86.616539
14, 14, 1, 14, 14, 1, 112.000000
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 2.848665
4, 4, 8, 4, 4, 2, 7.804878
6, 6, 12, 6, 6, 2, 11.413474
8, 8, 16, 8, 8, 2, 13.473684
10, 10, 20, 10, 10, 2, 14.778325
12, 12, 24, 12, 12, 2, 14.750320
14, 14, 28, 14, 14, 2, 15.529878
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.582089
4, 2, 2, 1, 1, 2, 7.032967
6, 2, 2, 1, 1, 2, 10.359713
8, 2, 2, 1, 1, 2, 14.014599
10, 2, 2, 1, 1, 2, 16.494846
12, 2, 2, 1, 1, 2, 19.862068
14, 2, 2, 1, 1, 2, 23.333332
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.555556
2, 4, 4, 1, 1, 4, 6.981818
2, 6, 6, 1, 1, 6, 10.549450
2, 8, 8, 1, 1, 8, 13.963635
2, 10, 10, 1, 1, 10, 16.724739
2, 12, 12, 1, 1, 12, 20.425533
2, 14, 14, 1, 1, 14, 23.661972
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 2.990654
4, 4, 4, 1, 4, 1, 8.033473
6, 6, 6, 1, 6, 1, 13.170732
8, 8, 8, 1, 8, 1, 16.677525
10, 10, 10, 1, 10, 1, 19.123507
12, 12, 12, 1, 12, 1, 19.210672
14, 14, 14, 1, 14, 1, 20.888100
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 2.972136
4, 4, 1, 4, 1, 4, 8.514412
6, 6, 1, 6, 1, 6, 13.130699
8, 8, 1, 8, 1, 8, 16.713820
10, 10, 1, 10, 1, 10, 19.246191
12, 12, 1, 12, 1, 12, 19.591837
14, 14, 1, 14, 1, 14, 19.923761
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.678161
4, 4, 4, 1, 1, 4, 14.065933
6, 6, 6, 1, 1, 6, 29.189188
8, 8, 8, 1, 1, 8, 52.244896
10, 10, 10, 1, 1, 10, 67.796608
12, 12, 12, 1, 1, 12, 83.680389
14, 14, 14, 1, 1, 14, 110.682350
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 3.595506
4, 4, 1, 4, 4, 1, 14.169741
6, 6, 1, 6, 6, 1, 28.896322
8, 8, 1, 8, 8, 1, 51.717175
10, 10, 1, 10, 10, 1, 67.415733
12, 12, 1, 12, 12, 1, 87.052895
14, 14, 1, 14, 14, 1, 104.533333
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 2.935780
4, 4, 8, 4, 4, 2, 7.966805
6, 6, 12, 6, 6, 2, 11.723202
8, 8, 16, 8, 8, 2, 13.875339
10, 10, 20, 10, 10, 2, 15.151515
12, 12, 24, 12, 12, 2, 15.137977
14, 14, 28, 14, 14, 2, 15.838384
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.692307
4, 2, 2, 1, 1, 2, 7.137547
6, 2, 2, 1, 1, 2, 10.666667
8, 2, 2, 1, 1, 2, 14.222222
10, 2, 2, 1, 1, 2, 17.021276
12, 2, 2, 1, 1, 2, 20.281691
14, 2, 2, 1, 1, 2, 23.829788
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.636364
2, 4, 4, 1, 1, 4, 7.084870
2, 6, 6, 1, 1, 6, 10.706320
2, 8, 8, 1, 1, 8, 14.275094
2, 10, 10, 1, 1, 10, 16.961130
2, 12, 12, 1, 1, 12, 20.353357
2, 14, 14, 1, 1, 14, 23.745583
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 3.047619
4, 4, 4, 1, 4, 1, 7.757576
6, 6, 6, 1, 6, 1, 13.211010
8, 8, 8, 1, 8, 1, 16.732025
10, 10, 10, 1, 10, 1, 17.543859
12, 12, 12, 1, 12, 1, 19.253483
14, 14, 14, 1, 14, 1, 20.869566
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 3.018868
4, 4, 1, 4, 1, 4, 8.384279
6, 6, 1, 6, 1, 6, 13.190840
8, 8, 1, 8, 1, 8, 16.713820
10, 10, 1, 10, 1, 10, 19.292604
12, 12, 1, 12, 1, 12, 19.383062
14, 14, 1, 14, 1, 14, 20.337225
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.568774
4, 4, 4, 1, 1, 4, 13.963635
6, 6, 6, 1, 1, 6, 28.235294
8, 8, 8, 1, 1, 8, 45.988026
10, 10, 10, 1, 1, 10, 58.394161
12, 12, 12, 1, 1, 12, 81.509438
14, 14, 14, 1, 1, 14, 102.483658
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 3.582089
4, 4, 1, 4, 4, 1, 13.812950
6, 6, 1, 6, 6, 1, 28.514851
8, 8, 1, 8, 8, 1, 50.360653
10, 10, 1, 10, 10, 1, 65.934067
12, 12, 1, 12, 12, 1, 87.272728
14, 14, 1, 14, 14, 1, 113.898308
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 2.972136
4, 4, 8, 4, 4, 2, 7.966805
6, 6, 12, 6, 6, 2, 11.597315
8, 8, 16, 8, 8, 2, 13.751119
10, 10, 20, 10, 10, 2, 15.132409
12, 12, 24, 12, 12, 2, 15.144610
14, 14, 28, 14, 14, 2, 15.838384
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.609023
4, 2, 2, 1, 1, 2, 7.191011
6, 2, 2, 1, 1, 2, 10.627306
8, 2, 2, 1, 1, 2, 14.222222
10, 2, 2, 1, 1, 2, 16.842106
12, 2, 2, 1, 1, 2, 20.498220
14, 2, 2, 1, 1, 2, 23.661972
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.664122
2, 4, 4, 1, 1, 4, 7.111111
2, 6, 6, 1, 1, 6, 10.746268
2, 8, 8, 1, 1, 8, 14.014599
2, 10, 10, 1, 1, 10, 16.783216
2, 12, 12, 1, 1, 12, 20.210526
2, 14, 14, 1, 1, 14, 23.829788
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 3.086817
4, 4, 4, 1, 4, 1, 8.571428
6, 6, 6, 1, 6, 1, 13.542320
8, 8, 8, 1, 8, 1, 17.047726
10, 10, 10, 1, 10, 1, 17.857143
12, 12, 12, 1, 12, 1, 19.692308
14, 14, 14, 1, 14, 1, 21.275442
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 3.076923
4, 4, 1, 4, 1, 4, 8.668172
6, 6, 1, 6, 1, 6, 13.606299
8, 8, 1, 8, 1, 8, 17.047726
10, 10, 1, 10, 1, 10, 19.688269
12, 12, 1, 12, 1, 12, 19.907835
14, 14, 1, 14, 1, 14, 20.851065
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.678161
4, 4, 4, 1, 1, 4, 14.328358
6, 6, 6, 1, 1, 6, 29.488056
8, 8, 8, 1, 1, 8, 52.067799
10, 10, 10, 1, 1, 10, 67.796608
12, 12, 12, 1, 1, 12, 87.272728
14, 14, 14, 1, 1, 14, 113.076920
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 3.568774
4, 4, 1, 4, 4, 1, 14.275094
6, 6, 1, 6, 6, 1, 29.090910
8, 8, 1, 8, 8, 1, 51.371239
10, 10, 1, 10, 10, 1, 66.481995
12, 12, 1, 12, 12, 1, 84.705879
14, 14, 1, 14, 14, 1, 110.943398
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 2.874252
4, 4, 8, 4, 4, 2, 7.950310
6, 6, 12, 6, 6, 2, 11.474103
8, 8, 16, 8, 8, 2, 13.580901
10, 10, 20, 10, 10, 2, 14.778325
12, 12, 24, 12, 12, 2, 14.845361
14, 14, 28, 14, 14, 2, 15.560700
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.529412
4, 2, 2, 1, 1, 2, 6.956522
6, 2, 2, 1, 1, 2, 10.397112
8, 2, 2, 1, 1, 2, 13.862816
10, 2, 2, 1, 1, 2, 16.666666
12, 2, 2, 1, 1, 2, 19.658703
14, 2, 2, 1, 1, 2, 23.333332
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.555556
2, 4, 4, 1, 1, 4, 6.620689
2, 6, 6, 1, 1, 6, 10.549450
2, 8, 8, 1, 1, 8, 14.014599
2, 10, 10, 1, 1, 10, 16.783216
2, 12, 12, 1, 1, 12, 19.793816
2, 14, 14, 1, 1, 14, 23.252596
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 2, 1, 3.057325
4, 4, 4, 1, 4, 1, 8.050315
6, 6, 6, 1, 6, 1, 13.231240
8, 8, 8, 1, 8, 1, 16.659435
10, 10, 10, 1, 10, 1, 17.556694
12, 12, 12, 1, 12, 1, 19.221357
14, 14, 14, 1, 14, 1, 20.888100
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 1, 2, 2.981366
4, 4, 1, 4, 1, 4, 8.384279
6, 6, 1, 6, 1, 6, 13.090909
8, 8, 1, 8, 1, 8, 16.677525
10, 10, 1, 10, 1, 10, 19.246191
12, 12, 1, 12, 1, 12, 19.525423
14, 14, 1, 14, 1, 14, 20.354824
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.568774
4, 4, 4, 1, 1, 4, 13.812950
6, 6, 6, 1, 1, 6, 28.704317
8, 8, 8, 1, 1, 8, 51.200001
10, 10, 10, 1, 1, 10, 66.666664
12, 12, 12, 1, 1, 12, 78.190041
14, 14, 14, 1, 1, 14, 108.137932
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 1, 2, 2, 1, 3.555556
4, 4, 1, 4, 4, 1, 13.665481
6, 6, 1, 6, 6, 1, 28.327868
8, 8, 1, 8, 8, 1, 46.829269
10, 10, 1, 10, 10, 1, 58.679707
12, 12, 1, 12, 12, 1, 78.904106
14, 14, 1, 14, 14, 1, 102.260872
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 4, 2, 2, 2, 2.857143
4, 4, 8, 4, 4, 2, 7.950310
6, 6, 12, 6, 6, 2, 11.489362
8, 8, 16, 8, 8, 2, 13.485514
10, 10, 20, 10, 10, 2, 14.842300
12, 12, 24, 12, 12, 2, 14.819898
14, 14, 28, 14, 14, 2, 15.494072
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.503650
4, 2, 2, 1, 1, 2, 7.058824
6, 2, 2, 1, 1, 2, 10.588235
8, 2, 2, 1, 1, 2, 13.812950
10, 2, 2, 1, 1, 2, 16.783216
12, 2, 2, 1, 1, 2, 20.000000
14, 2, 2, 1, 1, 2, 23.333332
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
2, 2, 2, 1, 1, 2, 3.595506
2, 4, 4, 1, 1, 4, 7.007299
2, 6, 6, 1, 1, 6, 10.397112
2, 8, 8, 1, 1, 8, 13.862816
2, 10, 10, 1, 1, 10, 16.551723
2, 12, 12, 1, 1, 12, 19.793816
2, 14, 14, 1, 1, 14, 23.496502
